Hash,Name,Category Name,Year,File,Resolution,Language,Subtitled,URL,Image,Adult,Genre,Overview,Original Title,Original Language,Release Date,Popularity,Certification Average,Certification Category,Published Date
13c06a7f04,The Fire Inside,PELICULAS,2024,La fuerza de una campeona (2024) WEB-DL LIGERO 1080psub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/The Fire Inside/La fuerza de una campeona (2024) WEB-DL LIGERO 1080psub.mp4,https://image.tmdb.org/t/p/original/dMorkoCdZJ1xmKv0VAXcpUax6Ar.jpg,false,"Historia,Drama","Claressa Shields, estudiante de secundaria de Flint, Michigan, con la ayuda de su firme entrenador, Jason Crutchfield, supera todas las limitaciones para convertirse en la primera mujer estadounidense en ganar una medalla de oro olímpica en boxeo. Pero incluso en la cima del éxito, Claressa debe reconocer que no todos los sueños son iguales, y que la verdadera lucha apenas comienza.",The Fire Inside,en,2024-12-25,1.417,13,13+,2025-03-14T15:52:22.197Z
dfe194a5c8,Island of Fire,PELICULAS,Año desconocido,Island of Fire.sub.mp4,Resolución desconocida,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Island of Fire/Island of Fire.sub.mp4,,,,,,,,,,,
dfe194a5c8,Island of Fire,PELICULAS,Año desconocido,Island of Fire DLAT.mp4,Resolución desconocida,Desconocido,false,https://www.innovatv.store/contenido/PELICULAS/Island of Fire/Island of Fire DLAT.mp4,,,,,,,,,,,
c82e14997f,Desde París con amor,PELICULAS,2010,From.Paris.with.Love.2010.1080p.lat.mp4,1080p,Desconocido,false,https://www.innovatv.store/contenido/PELICULAS/From Paris with Love/From.Paris.with.Love.2010.1080p.lat.mp4,https://image.tmdb.org/t/p/original/poVoLKLxUqsTLSntA40Po2F78dZ.jpg,false,"Acción,Crimen,Suspense","A Charlie Wax (John Travolta), un singular agente secreto estadounidense, le ha sido encomendada en París una misión de alto riesgo relacionada con el terrorismo y el tráfico de cocaína. El problema es que tropezará con James Reece (Rhys Meyers), un empleado de la embajada norteamericana, nada acostumbrado a los métodos poco ortodoxos de Wax.",From Paris with Love,en,2010-02-04,4.231,16,13+,2025-03-14T15:52:25.785Z
c82e14997f,Desde París con amor,PELICULAS,2010,From.Paris.with.Love.2010.1080p.sub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/From Paris with Love/From.Paris.with.Love.2010.1080p.sub.mp4,https://image.tmdb.org/t/p/original/poVoLKLxUqsTLSntA40Po2F78dZ.jpg,false,"Acción,Crimen,Suspense","A Charlie Wax (John Travolta), un singular agente secreto estadounidense, le ha sido encomendada en París una misión de alto riesgo relacionada con el terrorismo y el tráfico de cocaína. El problema es que tropezará con James Reece (Rhys Meyers), un empleado de la embajada norteamericana, nada acostumbrado a los métodos poco ortodoxos de Wax.",From Paris with Love,en,2010-02-04,4.231,16,13+,2025-03-14T15:52:25.785Z
1eb510aac6,Mañana Antes Después,PELICULAS,2023,Manana antes despues (2023) WEB-DL LIGERO 1080p Latino.mp4,1080p,latino,false,https://www.innovatv.store/contenido/PELICULAS/Manana antes despues/Manana antes despues (2023) WEB-DL LIGERO 1080p Latino.mp4,https://image.tmdb.org/t/p/original/jbj5RO4Q9HEIk9hbNtRcGoY3NSI.jpg,false,"Drama,Ciencia ficción",,Mañana Antes Después,es,2023-04-20,0.178,,Desconocido,2025-03-14T15:52:27.595Z
e90b32d757,Mesa de regalos,PELICULAS,2025,Mesa de regalos (2025) WEB-DL 1080p Latino.mp4,1080p,latino,false,https://www.innovatv.store/contenido/PELICULAS/Mesa de regalos/Mesa de regalos (2025) WEB-DL 1080p Latino.mp4,https://image.tmdb.org/t/p/original/vtabAKvDiJFgsRFskSkX2dOKYr0.jpg,false,Comedia,,Mesa de regalos,es,2025-01-16,1.487,,Desconocido,2025-03-14T15:52:29.367Z
a1ba0080d8,Hellhound,PELICULAS,2024,Perro de Pelea (2024) 1080p WEB-DL Latino.mp4,1080p,latino,false,https://www.innovatv.store/contenido/PELICULAS/Perro de Pelea/Perro de Pelea (2024) 1080p WEB-DL Latino.mp4,https://image.tmdb.org/t/p/original/h1BtcTEk0pbe9XhbxrAp2oLKoWb.jpg,false,"Acción,Crimen,Suspense","Persigue a un brutal capo, un error lleva a un asesino a sueldo de élite a una espiral descendente que desemboca en una guerra total en las calles de Tailandia.",Hellhound,en,2024-06-20,0.349,15,13+,2025-03-14T15:52:31.367Z
a1ba0080d8,Hellhound,PELICULAS,2024,Perro de Pelea (2024) 1080p WEB-DL sub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Perro de Pelea/Perro de Pelea (2024) 1080p WEB-DL sub.mp4,https://image.tmdb.org/t/p/original/h1BtcTEk0pbe9XhbxrAp2oLKoWb.jpg,false,"Acción,Crimen,Suspense","Persigue a un brutal capo, un error lleva a un asesino a sueldo de élite a una espiral descendente que desemboca en una guerra total en las calles de Tailandia.",Hellhound,en,2024-06-20,0.349,15,13+,2025-03-14T15:52:31.367Z

